county,countyfips,year,age,population,migrationrate,netmigration
Bent,11,2010,30_34,475.45,-12.29,-58
Bent,11,2010,35_39,605.52,-28.33,-172
Bent,11,2010,40_44,508.48,-23.69,-120
Bent,11,2010,45_49,529.14,-20.06,-106
Bent,11,2010,50_54,498.55,-26.99,-135
Bent,11,2010,55_59,533.67,-32.36,-173
Bent,11,2010,60_64,439.13,-20.3,-89
Bent,11,2010,65_69,364.43,-9.45,-34
Bent,11,2010,70_74,311.69,-7.6,-24
Boulder,13,1970,00_04,11535,3.4,397
Boulder,13,1970,05_09,10695,14.8,1591
Boulder,13,1970,10_14,11465,21,2408
Boulder,13,1970,15_19,13510,44.7,6048
Boulder,13,1970,20_24,12945,105.9,13716
Boulder,13,1970,25_29,14803,59.5,8816
Boulder,13,1970,30_34,17054,15.2,2596
Boulder,13,1970,35_39,11714,17.7,2074
Boulder,13,1970,40_44,8865,16.5,1464
Boulder,13,1970,45_49,7773,11.1,870
Boulder,13,1970,50_54,6906,3.8,266
Boulder,13,1970,55_59,6122,3.6,221
Boulder,13,1970,60_64,4657,6.5,306
Boulder,13,1970,65_69,3743,8.8,331
Boulder,13,1970,70_74,2799,17.2,482
Boulder,13,1980,00_04,16132,1.7,277
Boulder,13,1980,05_09,15129,3.8,578
Boulder,13,1980,10_14,11992,11.2,1353
Boulder,13,1980,15_19,12670,32.6,4141
Boulder,13,1980,20_24,14629,58.7,8597
Boulder,13,1980,25_29,19528,9.6,1877
Boulder,13,1980,30_34,26536,-9.4,-2499
Boulder,13,1980,35_39,23280,-1,-237
Boulder,13,1980,40_44,19255,0.9,189
Boulder,13,1980,45_49,13421,0.4,65
Boulder,13,1980,50_54,9882,-0.5,-50
Boulder,13,1980,55_59,8129,-4.7,-386
Boulder,13,1980,60_64,6441,0.2,18
Boulder,13,1980,65_69,5407,2,108
Boulder,13,1980,70_74,3932,7.7,306
Boulder,13,1990,00_04,16758,8.1,1369
Boulder,13,1990,05_09,16052,17.8,2867
Boulder,13,1990,10_14,16382,16.6,2729
Boulder,13,1990,15_19,15551,39.6,6164
Boulder,13,1990,20_24,13057,107.7,14066
Boulder,13,1990,25_29,16710,41.8,6990
Boulder,13,1990,30_34,23382,-3.3,-779
Boulder,13,1990,35_39,21274,16,3411
Boulder,13,1990,40_44,23720,10.8,2570
Boulder,13,1990,45_49,22915,5.1,1177
Boulder,13,1990,50_54,19365,0.4,96
Boulder,13,1990,55_59,13354,-6.3,-844
Boulder,13,1990,60_64,9559,-10.7,-1032
Boulder,13,1990,65_69,7198,-8.5,-617
Boulder,13,1990,70_74,5642,-3.7,-213
Boulder,13,2000,00_04,16461,3.9,653
Boulder,13,2000,05_09,17795,2.7,492
Boulder,13,2000,10_14,16889,4.6,792
Boulder,13,2000,15_19,17332,30.5,5301
